,Nom et prénom,Numéro de téléphone,Service proposé,lowerplot
647,Eugène Deschamps,0696447217,Dépannage informatique,dépannage_informatique
648,Philippine Lefebvre Le Bouvet,0689474331,Conseils en gestion de la douleur,conseils gestion douleur
649,Margot Turpin,0635424248,Conseils en gestion du stress,conseils gestion stress
650,Marguerite Martel Le Da Costa,0699181874,Conseils en amélioration de la qualité de vie,conseils amélioration qualité vie
651,Victoire Perrier,0660323305,Réparation de petits appareils électroménagers,réparation petits appareils_électroménagers
652,Nicolas Reynaud,0677187804,Livraison de médicaments à domicile,livraison médicaments domicile
653,Émilie Faure,0695950635,Assistance à la prise de médicaments,assistance prise_médicaments
654,Étienne Nguyen,0647863653,Réalisation de petits travaux de jardinage,réalisation petits travaux jardinage
655,Andrée Le Gall,0657081162,Conseils en décoration intérieure,conseils décoration_intérieure
656,Valérie Pelletier,0603793825,Séances de relaxation et de bien-être à domicile,séances_relaxation bienêtre domicile
657,Raymond du Leleu,0604204419,Conseils en organisation de la maison,conseils organisation maison
658,Thibaut Thibault-Neveu,0656400330,Organisation de séjours vacances,organisation séjours vacances
659,Alain Toussaint de Vaillant,0618050791,Soutien à la recherche d'emploi,soutien recherche demploi
660,daisy Morin,0665082697,Organisation d'activités de loisirs,organisation dactivités_loisirs
661,Richard Dupre de Picard,0664234420,Conseils en prévention des maladies,conseils prévention malady
662,Anaïs Bailly,0671944382,Conseils en éducation parentale,conseils éducation parentale
663,Jeannine Laine,0622805964,Accompagnement à des rendez-vous professionnels,accompagnement rendezvous professionnels
664,Charles Nicolas,0671817204,Accompagnement à des rendez-vous familiaux,accompagnement rendezvous familiaux
665,Victoire Regnier,0641843776,Accompagnement lors de démarches administratives,accompagnement lors démarches administratives
666,Valérie du Camus,0611048474,Conseils en gestion des relations sociales,conseils gestion relation sociales
667,Françoise Devaux,0626794264,Conseils en gestion des relations familiales,conseils gestion relation familiales
668,Adrien-William Joly,0696884675,Accompagnement lors de déménagements,accompagnement lors déménagements
669,Timothée Dubois-Texier,0673600432,Rédaction de CV et lettres de motivation,rédaction_cv lettres_motivation
670,Théophile Roussel,0629306076,Conseils en développement personnel,conseils développement personnel
671,Éléonore Deschamps-Maury,0637434738,Accompagnement lors de voyages,accompagnement lors voyage
672,Véronique-Valentine Hebert,0695469007,Accompagnement pour les courses et les achats,accompagnement course achats
673,Benjamin Blanc,0686686785,Conseils en gestion du budget familial,conseils gestion budget familial
674,Michelle Henry,0618427319,Conseils en gestion de la carrière professionnelle,conseils gestion carrière professionnelle
675,Charles Pages,0649558836,Organisation de cérémonies familiales,organisation cérémonies familiales
676,Clémence Lagarde-Wagner,0640036126,Conseils en aménagement du lieu de vie,conseils aménagement lieu vie
677,Hugues Payet,0645152306,Animation d'ateliers créatifs,animation dateliers créatifs
678,Richard Maillet,0681380958,Accompagnement en nature thérapie,accompagnement nature thérapie
679,Emmanuel Texier,0684558235,Organisation de rencontres intergénérationnelles,organisation rencontres intergénérationnelles
680,Élisabeth de Begue,0680268955,Cours de yoga adapté aux seniors,cours yoga adapté senior
681,Zacharie Marques de la Guichard,0662508908," dégustation de vin à domicile, idéal pour vos soirées entre amis",dégustation vin domicile idéal soirées entre amis
682,Margot Francois de la Leroux,0633993336,Accompagnement en méditation de pleine conscience,accompagnement méditation_pleine conscience
683,François Le Pereira,0642460419, promenade en canoë ou kayak pour tous,promenade canoë kayak tous
684,Benjamin de la Lacombe,0605513238,"Préparation de plats pour régimes spécifiques (végétalien, sans gluten )",préparation plat_régimes spécifiques végétalien sans gluten
685,Valentine Navarro,0634290865,Soutien scolaire à domicile en français langue étrangère (FLE),soutien scolaire domicile français langue_étrangère fle
686,Henriette Henry,0629010704,Pratique de la sophrologie pour les enfants et adolescents,pratique sophrologie enfants adolescent
687,François Jacob,0604807878,Organisation de voyages pour seniors,organisation voyage senior
688,Théophile Le Garcia,0644401554, traduction pour personnes malentendantes,traduction personnes malentendantes
689,Constance Valentin-Colin,0677899999,Accompagnement dans la réalisation de projets artistiques,accompagnement réalisation projets_artistiques
690,Charlotte Klein,0615711138,Cours de musique pour personnes atteintes de troubles cognitifs,cours musique personnes atteintes_trouble cognitifs
691,Jérôme Coulon,0657923086,Création de programmes de nutrition pour sportifs amateurs,création programme nutrition sportifs amateur
692,Isaac Lemonnier,0618138350,Organisation de cours de danse pour seniors,organisation cours danse senior
693,Corinne Delaunay,0650289774,Soutien pour les personnes atteintes de troubles de l'alimentation,soutien personnes atteintes_trouble lalimentation
694,Denis-Sébastien Potier,0677419487, coiffure pour personnes à cheveux courts,coiffure personnes cheveux court
695,Michelle Munoz,0621911559,"Accompagnement pour les personnes en transition de vie (changement de travail, divorce )",accompagnement personnes transition vie changement travail divorce
696,Hugues Duhamel,0688746309,Formation en développement,formation développement
697,Julie Henry,0612915795,Animateur de soirées pour enfants,animateur soirées enfants
698,Joséphine Le Imbert,0652999554,Testeur de jeux vidéo,testeur jeux vidéo
699,Juliette Denis du Hamel,0659842231,Hôte de soirée pour Airbnb,hôte soirée airbnb
700,Françoise Delattre,0640776291,Conducteur de voiture-bélier pour films,conducteur voiturebélier film
701,Martine du Toussaint,0691936256,Consultant en survie urbaine,consultant survie urbaine
702,Émile-Zacharie Tanguy,0606419393,"Guide de tourisme de niche (street art, gastronomie locale )",guide tourisme niche street art gastronomie locale
703,Thierry Pinto,0644121432,Agent de collecte de données pour la recherche scientifique,agent collecte données recherche scientifique
704,Lucie Dufour,0674386299,Assistant de vie pour personnes âgées ou handicapées,assistant vie personnes âgées handicapées
705,Robert Chretien,0609058737,Décorateur de fêtes d'anniversaire,décorateur fêtes_danniversaire
706,Thibault Herve du Mendes,0672492576,Développeur de sites web pour petites entreprises,développeur site web petite entreprises
707,Zacharie-Honoré Dufour,0650789825,Photographe pour animaux domestiques,photographe animaux domestiques
708,Guy de la Boulay,0648298302,Livreur de repas à domicile à vélo,livreur repas domicile vélo
709,Émilie Guichard,0681561630,Conseiller en image personnelle et professionnelle,conseiller image personnelle professionnelle
710,Joséphine Rodriguez-Lebreton,0618657153,Professeur particulier de langues étrangères,professeur particulier langues_étrangères
711,Camille Grenier-Royer,0633882604,Gestionnaire de réseaux sociaux pour les petites entreprises,gestionnaire réseaux_sociaux petite entreprises
712,Pauline Faure de Delmas,0601572775,Coach sportif personnel,coach sportif personnel
713,Sébastien Leger-Giraud,0686580483,Créateur de contenu vidéo pour les réseaux sociaux,créateur contenu vidéo réseaux_sociaux
714,Georges Collet,0665227800,Garde d'enfants pendant les mariages,garde denfants pendant mariages
715,Thibaut Maillot,0631170131,Concepteur de bijoux faits à la main,concepteur bijou faits_main
716,Augustin Denis,0653897890,Collecteur de fonds pour des organisations caritatives,collecteur fonds organisation caritatives
717,Emmanuelle Besnard-Weiss,0659040987,Assistant de recherche en laboratoire,assistant recherche laboratoire
718,Guy Raymond,0603335477,Organisateur de voyages pour célibataires,organisateur voyage célibataires
719,Denise-Pauline Perrier,0684960804,Réparateur de vélos à domicile,réparateur vélos domicile
720,Paul Mathieu,0684885985,Coiffeur à domicile,coiffeur domicile
721,Claire Renard,0699322646,Photographe d'événements familiaux,photographe dévénements familiaux
722,Pauline-Diane Lombard,0675054759,Coach de vie,coach vie
723,Alexandrie Leclercq,0649704515,Conseiller en nutrition,conseiller nutrition
724,Marcelle Riou-Peltier,0667649396,Répétiteur scolaire en ligne,répétiteur scolaire ligne
725,Adèle Morel,0663474867,Organisateur de soirées pour enfants,organisateur soirées enfants
726,Astrid Gonzalez de Bigot,0621126785,Enseignant de yoga pour enfants,enseignant yoga enfants
727,Alex Mendes,0643479922,Jardinier paysagiste,jardinier paysagiste
728,Gilbert de Weiss,0671887961,Artiste de tatouage : design et dessins ,artiste tatouage design dessins
729,Susanne-Véronique Colin,0674323763,Dessinateur industriel,dessinateur industriel
730,Zoé Royer,0637358983,Agent de location de vacances,agent location vacances
731,Rémy Couturier Le Raymond,0670456715,Concepteur de sites web pour les artistes,concepteur site web artiste
732,Emmanuel-Martin Bigot,0678880373,Gestionnaire de projets de construction,gestionnaire projets_construction
733,Valérie Briand-Mercier,0653188985,Organisateur de déménagements,organisateur déménagements
734,Émilie de la Fontaine,0648662579,Expert en nettoyage de tapis,expert nettoyage tapis
735,Arthur Besnard de Leblanc,0640670579,Designer de logos,designer logo
736,Margaud Georges,0625900595,Guide touristique pour les visites de quartiers,guide touristique visites quartiers
737,Jean Valette,0634613209,Maquilleur pour événements,maquilleur événements
738,René Traore du Herve,0655847261,Designer de vitrines de magasin,designer vitrine_magasin
739,Patrick de Humbert,0645366283,Assistant personnel virtuel,assistant personnel virtuel
740,Madeleine Colin,0633931668,Agent de sécurité pour événements,agent sécurité événements
741,Susanne Rousset,0607489967,Traducteur en ligne,traducteur ligne
742,Julien Rodriguez,0644073594,Entretien ménager pour maisons de vacances,entretien_ménager maisons vacances
743,Dorothée Pasquier,0636668658,Chasseur de têtes pour recruteurs,chasseur têtes recruteurs
744,Denise-Maggie Collet,0683594032,Guide touristique de montagne,guide touristique montagne
745,Robert Chevallier,0621718237,Organisateur de fêtes privées,organisateur fêtes_privées
746,Alain Barre,0690901992,Gestionnaire de boutique en ligne.,gestionnaire boutique ligne
747,Martine Lucas de Parent,0624014203,Artiste de maquillage pour effets spéciaux,artiste maquillage effets spéciaux
748,Josette-Sabine Labbe,0679117706,Coach de survie en milieu sauvage,coach survie milieu sauvage
749,Victoire Martineau-Potier,0609959269,Graphiste pour jeux de société,graphiste jeux_société
750,David Coulon du Ribeiro,0666377352,Coordinateur d'événements d'entreprise,coordinateur dévénements dentreprise
751,Frédéric Noel,0698440248,Guide de tourisme culinaire,guide tourisme culinaire
752,Alphonse Gomes-Rousseau,0671336569,Assistant de recherche médicale,assistant recherche médicale
753,Véronique Durand,0636101614,Évaluateur de qualité pour restaurants,évaluateur qualité restaurant
754,Nath Rossi Le Fouquet,0632603516,Décorateur de vitrines de magasin,décorateur vitrine_magasin
755,Catherine Aubert-Tanguy,0601530779,Conseiller en mode durable,conseiller mode_durable
756,Eugène du Charrier,0651140686,Animateur de fêtes pour enfants avec thèmes spécifiques,animateur fêtes enfants thèmes spécifiques
757,Matthieu Berthelot,0602787200,Moniteur de parapente,moniteur parapente
758,Alix Auger,0675729890,Chanteur pour mariages et événements spéciaux,chanteur mariages événements spéciaux
759,Laurent-Richard Briand,0640849462,Coach en communication interpersonnelle,coach communication interpersonnelle
760,Grégoire Labbe,0680771179,Chef de projet pour événements sportifs,chef projet événements sportifs
761,Emmanuelle Dupuy de la Guilbert,0634349569,Expert en décoration de gâteaux,expert décoration gâteaux
762,Suzanne Prevost,0666764114,Garde de nuit pour bébés,garde nuit bébés
763,Céline de la Dumas,0627781470,Guide de tourisme pour les sites historiques et culturels,guide tourisme site historiques culturels
764,Thierry Charrier,0689788799,Coach de bien-être holistique,coach bienêtre holistique
765,Marianne Da Silva,0696885432,Pilote de drones pour la photographie aérienne,pilote drone photographie aérienne
766,Jules Rousset,0657444589,Entraîneur personnel de fitness pour personnes âgées,entraîneur personnel fitness personnes âgées
767,Alexandre Bourgeois,0622110049,Gardien de chien pour les propriétaires qui voyagent souvent,gardien chien propriétaires voyagent souvent
768,Henri Fournier,0628443721,Concepteur de décoration intérieure pour espaces restreints,concepteur décoration_intérieure espaces restreints
769,Maggie Garnier,0640202957,"Coach de vie spirituelle, pour découvrir de nouvelles dimensions",coach vie spirituelle découvrir nouvelles dimension
770,Emmanuelle Regnier,0629608486,Designer de costumes pour théâtre et cinéma,designer costume_théâtre cinéma
771,Cécile-Josette Lefort,0669362880,Gestionnaire de location de voitures anciennes pour événements spéciaux,gestionnaire location voitures anciennes événements spéciaux
772,Aurélie Nicolas de Vallet,0635938007,Monteur vidéo pour YouTubeurs,monteur vidéo youtubeurs
773,Marianne Collet,0647336302,Coach en développement personnel pour adolescents,coach développement personnel adolescent
774,Jean Couturier,0613333811,Écrivain fantôme pour biographies et mémoires,écrivain fantôme biography mémoires
775,Éric Fouquet,0656794030,Animateur de jeux-questionnaires pour événements corporatifs,animateur jeuxquestionnaires événements corporatifs
776,Jean-Thibaut Bouvet,0693299505,Designer de papeterie pour événements spéciaux,designer papeterie événements spéciaux
777,Aurélie-Philippine Morel,0630692788,Styliste personnel pour les personnes transgenres et non-binaires,styliste personnel personnes transgenres nonbinaires
778,Astrid Lemonnier,0646647522,Animateur de radio communautaire,animateur radio communautaire
779,Susanne Marchal,0688178506,Expert en régimes alimentaires alternatifs,expert régimes_alimentaires alternatifs
780,Thérèse Baudry de Meyer,0600343311,Guide de voyage en bateau de croisière,guide voyage bateau croisière
781,Aimé Leduc,0670462007,Coach en développement de carrière pour jeunes diplômés,coach développement carrière jeunes diplômés
782,Luce Renault-Ferreira,0684292408,Réparateur d'instruments de musique,réparateur dinstruments musique
783,Aimé Roy,0691766681,Développeur d'applications mobiles pour événements spéciaux,développeur dapplications_mobile événements spéciaux
784,Louise Samson,0638249428,Guide de tourisme éco-responsable,guide tourisme écoresponsable
785,Maurice Delmas,0656794290,Coach en gestion de temps pour les entrepreneurs,coach gestion temp entrepreneur
786,Cécile Jacquet,0604018155,Conseiller en santé et sécurité pour les événements de plein air,conseiller santé sécurité événements plein air
787,Lucas-Julien Denis,0603176070,Coordinateur de projets artistiques communautaires,coordinateur projets_artistiques communautaires
788,Élise de la Blanc,0647299141,Designer de jardins pour petits espaces,designer jardins petits espaces
789,Céline Ramos,0696731182,Animateur de jeux vidéo en ligne,animateur jeux vidéo ligne
790,Gilbert-Thierry Blanchard,0616586350,Coach de gestion du stress pour les personnes en situation de crise,coach gestion stress personnes situation crise
791,Théophile Alexandre-Mary,0659335945,Gestionnaire de réseaux sociaux pour les musiciens indépendants,gestionnaire réseaux_sociaux musiciens indépendants
792,Josette Robin,0694706754,Agent de vente de produits artisanaux en ligne,agent vente produits artisanaux ligne
793,Pénélope-Louise Le Goff,0625329241,Traducteur pour les sites web d'ONG internationales,traducteur site web dong internationale
794,Benjamin Toussaint,0656982603,Réalisateur de films d'entreprise pour les petites entreprises,réalisateur film dentreprise petite entreprises
795,Rémy Benard-Humbert,0631223782,Organisateur de jeux de rôle grandeur nature,organisateur jeux rôle grandeur nature
796,Vincent Peron,0628916674,Coordinateur de voyages d'immersion culturelle pour les écoles.,coordinateur voyage dimmersion culturelle écoles
797,Margaret Thierry,0623545727,Créateur de contenu pour les réseaux sociaux,créateur contenu réseaux_sociaux
798,Gilles Poulain du Lecoq,0622264326,Professeur de yoga pour enfants,professeur yoga enfants
799,François Thierry,0614214858,Correcteur d'orthographe et de grammaire indépendant,correcteur dorthographe grammaire indépendant
800,Joséphine Fouquet,0647002629,Vendeur de bijoux faits à la main,vendeur bijou faits_main
801,Maryse Bernier,0658189209,Assistant virtuel pour entrepreneurs,assistant virtuel entrepreneur
802,Richard Vallee-Robert,0624194343,Animateur de jeux de société pour personnes âgées,animateur jeux_société personnes âgées
803,Olivier Antoine,0679782537,Guide de voyage pour les voyageurs solitaires,guide voyage voyageurs solitaire
804,Roger Mercier,0660058167,Réparateur de vélos à domicile,réparateur vélos domicile
805,Benjamin David-Pinto,0698967841,Coach en relations amoureuses,coach relation_amoureuses
806,Andrée Garcia-Da Costa,0691847213,Créateur de jardins de toit,créateur jardins toit
807,Jeanne Poulain-Vincent,0679534639,Créateur de bougies artisanales,créateur bougies_artisanales
808,Roger Picard,0606770745,Tuteur de mathématiques en ligne,tuteur mathématiques ligne
809,Olivier Foucher,0666873140,Décorateur de mariages et d'événements spéciaux,décorateur mariages dévénements spéciaux
810,Joséphine Dufour,0695952372,Guide de randonnée en montagne,guide randonnée montagne
811,Guillaume Gauthier,0659392613,Coach de rédaction créative,coach rédaction créative
812,Alexandrie Robin,0661964012,Créateur de sculptures en fil de fer,créateur sculpture_fil fer
813,Victor Jacques,0662681479,Guide touristique de la ville en vélo électrique,guide touristique ville vélo électrique
814,Rémy Costa de Morin,0602976218,Joueur professionnel de jeux vidéo en ligne,joueur professionnel jeux vidéo ligne
815,Émile Coulon,0690925681,Traducteur de mangas et de bandes dessinées,traducteur mangas bandes dessinées
816,Henri Couturier,0692940016,Coach en éducation canine,coach éducation canine
817,Christelle Dijoux,0656594892,Organisateur de soirées à thème,organisateur soirées thème
818,Alphonse Le Bazin,0612858690,Professeur de danse pour enfants,professeur danse enfants
819,Alexandre Dufour,0695812000,Créateur de sites web pour les petites entreprises locales,créateur site web petite entreprises locale
820,Adrien Maurice,0664380275,Coach en développement personnel pour les étudiants universitaires,coach développement personnel étudiants universitaires
821,Adrienne Nicolas,0666989605,Guide touristique pour les expériences culinaires en ville,guide touristique expériences culinaires ville
822,Josette Toussaint,0685075798,Coach en méditation et en pleine conscience,coach méditation_pleine conscience
823,Nath Grenier,0604046028,Artisan en maroquinerie,artisan maroquinerie
824,Élodie Ferreira,0670986212,Guide de tourisme rural pour les fermes et les vignobles locaux,guide tourisme rural fermes vignobles locaux
825,Michelle Delannoy,0681508183,Designer d'intérieur pour les petits appartements urbains,designer dintérieur petits appartements urbains
826,Laurence Boulay,0607079110,Coach de développement de l'empathie,coach développement lempathie
827,Jérôme Guillou,0632937755,Animateur de soirées de jeux de rôle,animateur soirées jeux rôle
828,Sébastien de Marion,0615179311,Conseiller en nutrition pour les athlètes amateurs,conseiller nutrition athlètes amateur
829,Robert Robert,0656228385,Créateur de bijoux pour hommes,créateur bijou hommes
830,Paul Verdier,0615543950,Guide touristique pour les activités nautiques,guide touristique activités nautiques
831,Valentine Guillaume,0688438720,Coach de communication orale pour les présentations professionnelles,coach communication orale présentations professionnelles
832,Marthe Leroux,0691621216,Organisateur d'activités pour les enfants dans les parcs publics,organisateur dactivités enfants parcs public
833,daisy Le Weiss,0662501468,Coach en gestion de l'anxiété pour les travailleurs indépendants,coach gestion lanxiété travailleurs indépendants
834,Gabrielle Masson,0682693575,Professeur de musique pour les enfants en bas âge,professeur musique enfants ba âge
835,Noémi de Alves,0680276942,Conseiller en marketing numérique pour les petites entreprises,conseiller marketing numérique petite entreprises
836,Michelle Rodrigues,0675288920,Guide de tourisme pour les sites de tournage de films et de télévision,guide tourisme site tournage film télévision
837,Alphonse Huet Le Lopes,0649094127,Coach de développement de la confiance en soi pour les adolescents,coach développement confiance_soi adolescent
838,Marine Gerard,0613584235,Artisan en tissage de macramé,artisan tissage macramé
839,Océane Prevost,0636605752,Vendeur de produits de beauté naturels faits maison,vendeur produits beauté_naturels faits maison
840,Gilles Devaux de Bourdon,0610610650,Guide touristique pour les visites de distilleries locales,guide touristique visites distillery locale
841,Timothée Arnaud,0622913733,Coach de développement des compétences de vie pour les personnes âgées,coach développement compétences vie personnes âgées
842,Claudine Lecomte,0631439442,Professeur de dessin pour enfants en ligne,professeur dessin enfants ligne
843,Agathe Munoz,0651309574,Créateur de costumes pour les événements cosplay,créateur costume événements cosplay
844,David Lambert,0625573306,Organisateur de tours de bière pour les amateurs de bière,organisateur tour bière amateur bière
845,Manon Potier,0696677389,Coach en gestion des émotions pour les parents,coach gestion émotions parent
846,Renée Gonzalez,0692832099,Guide touristique pour les visites de jardins botaniques locaux.,guide touristique visites jardins botaniques locaux
847,Zoé Merle-Vallee,0646494563,Créateur de contenus audiovisuels pour les marques,créateur contenus audiovisuels marque
848,Sophie Texier,0697031812,Coach en développement de la créativité,coach développement créativité
849,Daniel-Yves Rossi,0686060407,Guide touristique pour les visites d'attractions touristiques sous-marines,guide touristique visites dattractions touristiques sousmarines
850,Thomas-Gérard Gregoire,0642051057,Livreur de courses à domicile pour les personnes à mobilité réduite,livreur course domicile personnes mobilité_réduite
851,Gilbert Boyer,0671809967,Organisateur d'événements culturels pour les communautés locales,organisateur dévénements culturels communautés locale
852,Stéphane Tessier,0609519471,Coach de développement personnel pour les nouveaux parents,coach développement personnel nouveaux_parent
853,Inès Hardy-Bonneau,0634826875,Concepteur de jeux de société éducatifs pour enfants,concepteur jeux_société éducatifs enfants
854,Vincent Le Paul,0697237401,Cours de bricolage en ligne,cours bricolage ligne
855,Nicolas Masson,0610699900,Artisan en fabrication de savons et de produits de bain,artisan_fabrication savons produits bain
856,Dorothée Georges,0631764242,Guide touristique pour les visites d'usines locales,guide touristique visites dusines locale
857,Gilbert Paris,0686246651,Organisateur de tours gastronomiques pour les visiteurs étrangers,organisateur tour gastronomiques visiteurs étrangers
858,Dominique Lamy,0609320295,Coach de développement de la confiance en soi pour les personnes en situation de handicap,coach développement confiance_soi personnes situation_handicap
859,Geneviève Denis,0673733756,Photographe de mariage et d'événements,photographe mariage dévénements
860,Thérèse Teixeira-Maillet,0631202369,Créateur de contenu de marketing d'influence,créateur contenu marketing dinfluence
861,Claude de la Carpentier,0649328834,Professeur de langues étrangères en ligne,professeur langues_étrangères ligne
862,Guillaume de Guillet,0686366935,Designer de vêtements sur mesure pour animaux de compagnie,designer vêtements mesure animaux_compagnie
863,Maryse Rey,0628393799,Guide touristique pour les visites de fermes biologiques,guide touristique visites fermes biologiques
864,Richard Blot,0656917093,Coach de développement des compétences en leadership pour les jeunes professionnels,coach développement compétences leadership jeunes professionnels
865,Bernadette Humbert,0671864137,Enseignant de cours de maquillage en ligne,enseignant cours maquillage ligne
866,Adèle-Élisabeth Gomes,0617346158,Créateur de contenu pour les podcasts éducatifs,créateur contenu podcasts éducatifs
867,Noël Dias,0616632476,Organisateur de visites guidées de la ville en Segway,organisateur visites_guidées ville segway
868,Martin Hardy,0670231982,Coach en développement de la résilience pour les personnes atteintes de maladies chroniques,coach développement résilience personnes atteintes malady_chroniques
869,Suzanne Paris-Benoit,0653231054,Artisan en fabrication de meubles à partir de matériaux recyclés,artisan_fabrication meubles partir matériaux recyclés
870,Michèle Maurice,0617394544,Guide touristique pour les visites de distilleries de whisky,guide touristique visites distillery whisky
871,Margaud Valette,0617623706,Enseignant de cours de cuisine en ligne,enseignant cours cuisine ligne
872,Chantal Thibault,0626744230,Créateur de contenus pour les sites Web d'artisanat,créateur contenus site web dartisanat
873,Robert Masson,0689822632,Coach de développement de la gestion du stress pour les étudiants universitaires,coach développement gestion stress étudiants universitaires
874,Jacqueline Pinto de la Pruvost,0664758914,Organisateur de visites guidées en VTT,organisateur visites_guidées vtt
875,Jules de Wagner,0655624796,Conseiller en mode éthique et responsable,conseiller mode éthique responsable
876,Paul de Pons,0695952524,Guide touristique pour les visites de sites de production de café local,guide touristique visites site production café local
877,Nicolas Buisson,0648023414,Professeur de théâtre pour enfants,professeur théâtre enfants
878,Frédéric Auger,0680453620,Enseignant de cours de photographie en ligne,enseignant cours photographie ligne
879,Michel Cordier,0623669034,Créateur de contenus pour les blogs de cuisine,créateur contenus blog cuisine
880,Thérèse Gerard de Faure,0665646912,Organisateur de visites guidées de la ville en hoverboard,organisateur visites_guidées ville hoverboard
881,Théodore Hardy,0601486902,Coach de développement de la communication interculturelle pour les expatriés,coach développement communication interculturelle expatriés
882,Diane Monnier,0647535482,Artisan en fabrication de produits de cuir recyclé,artisan_fabrication produits cuir recyclé
883,Honoré Pruvost-Gauthier,0662542085,Guide touristique pour les visites de brasseries artisanales locales,guide touristique visites brasserie artisanales locale
884,Josette Laurent,0699486040,Enseignant de cours de poterie en ligne,enseignant cours poterie ligne
885,Tristan Turpin,0616983688,Créateur de contenus pour les vidéos éducatives,créateur contenus vidéos éducatives
886,daisy Robin-Schneider,0666184427,Coach de développement de la résolution de conflits pour les couples,coach développement résolution conflits couple
887,Henriette Boucher-Da Silva,0662789943,Organisateur de visites guidées de la ville en trottinette électrique,organisateur visites_guidées ville trottinette électrique
888,Sophie Hamon,0696391491,Conseiller en développement durable pour les petites entreprises,conseiller développement durable petite entreprises
889,Bernadette Lejeune,0643622374,Guide touristique pour les visites de sites historiques locaux,guide touristique visites site historiques locaux
890,Élise Goncalves,0666048206,Enseignant de cours de yoga en ligne,enseignant cours yoga ligne
891,Alphonse Begue,0646535182,Créateur de contenus pour les sites Web de jardinage,créateur contenus site web jardinage
892,Hélène Guilbert,0600857435,Organisateur de visites guidées en canoë,organisateur visites_guidées canoë
893,Théodore du Torres,0668065744,Coach de développement de la prise de décision pour les entrepreneurs,coach développement prise décision entrepreneur
894,Gilles Meyer,0648964128,Artisan en fabrication de produits en bois naturel,artisan_fabrication produits bois naturel
895,Céline Fischer,0602126194,Compagnie pour personnes âgées,compagnie personnes âgées
896,Patrick-Gérard Didier,0646611790,Assistance aux tâches administratives,assistance tâches_administratives
897,Thibault Barthelemy,0606378219,Livraison de courses,livraison course
898,Léon Andre,0686504623, garde d'animaux,garde danimaux
899,Bertrand de Fournier,0611252473, nettoyage de maison,nettoyage maison
900,Philippe-Laurent Dupre,0694702098,Préparation de repas sains et équilibrés,préparation repas sains_équilibrés
901,Édouard Bruneau,0602506320, l'organisation d'un déménagement,lorganisation dun déménagement
902,Valérie de Cordier,0607917787,Assistance informatique à domicile,assistance informatique domicile
903,David Bodin,0610602554, garde d'enfants,garde denfants
904,Richard Pasquier de la Barre,0690103493,Réparation de petits appareils électroménagers,réparation petits appareils_électroménagers
905,Inès Pierre,0669165305,Assistance pour les déplacements à l'extérieur de la maison,assistance déplacements lextérieur maison
906,Gabriel Pruvost du Leveque,0615213969,Arrosage des plantes pendant les vacances,arrosage plantes pendant vacances
907,Timothée Rousseau-Poirier,0676140762,Réception de colis à domicile,réception colis domicile
908,Alfred Couturier,0637765178,Promenade de chiens,promenade_chiens
909,Noël Coste,0685799550,Coiffure à domicile,coiffure domicile
910,Thérèse Guyot,0617814460,Installation de systèmes de sécurité à domicile,installation systèmes sécurité domicile
911,Suzanne Ruiz,0671245922,"Mise en place d'un régime alimentaire sain, je vous encourage à perdre du poids",mise_place dun régime alimentaire sain encourage perdre poids
912,Denise Mary Le Denis,0669210541, garde de nuit pour les enfants,garde nuit enfants
913,Claudine de Perret,0672672003,Maintenance de la piscine à domicile,maintenance piscine domicile
914,Anastasie-Pénélope Dupont,0697671196,Assistance pour la vente de biens immobiliers,assistance vente biens immobiliers
915,Agathe Bertrand,0613414817,Réparation de vélos,réparation vélos
916,Hugues Gros-Coulon,0693958245,Accompagnement pour les rendez-vous médicaux,accompagnement rendezvous_médicaux
917,Robert Dubois,0628218141,Entretien de l'espace vert à domicile,entretien lespace vert domicile
918,Adrien Duval de la Pottier,0648831609,Nettoyage de voitures,nettoyage voitures
919,Aimé Mace-Gautier,0679744745,Cours de cuisine à domicile,cours cuisine domicile
920,Élise Torres,0663320655,Assistance pour l'organisation de soirées,assistance lorganisation soirées
921,André Descamps,0665949618, garde pour personnes à mobilité réduite,garde personnes mobilité_réduite
922,Guy Legros de Guillet,0617040020,Planification de voyages,planification voyage
923,Thibault Aubry,0632912312,Assistance pour l'installation de nouveaux équipements électroniques,assistance linstallation nouveaux équipements électroniques
924,Alexandre Teixeira,0612038271, garde de nuit pour les personnes âgées,garde nuit personnes âgées
925,Bernard Guibert,0610619882,Garde de plantes d'intérieur pendant les vacances,garde plantes dintérieur pendant vacances
926,Claire Pichon,0693991446, réparation de véhicules à domicile,réparation véhicules domicile
927,Dorothée Blot-Thibault,0699069697,Gestion du budget : je suis à vos côtés dans la gestion de vos compte et la répartition de votre budget,gestion budget côtés gestion compte répartition budget
928,Claire Mary,0643342090,"Réparation de petits travaux de plomberie, je suis très fort en bricolage… ",réparation petits travaux plomberie très fort bricolage
929,Sébastien David Le Charrier,0655624724,Nettoyage de piscines à domicile,nettoyage piscines domicile
930,Amélie Bourgeois,0663564990,Assistance pour l'organisation de fêtes d'anniversaire,assistance lorganisation fêtes_danniversaire
931,Élise Boyer de Leroux,0627680386,Préparation de cocktails à domicile,préparation cocktail domicile
932,Sébastien Brun,0695529613,Garde de bébés,garde bébés
933,Philippe Payet,0612799724,Maintenance de climatisation à domicile,maintenance climatisation domicile
934,Isabelle Marchand,0671504906,Assistance pour la planification de mariages,assistance planification mariages
